id,category,trades,win_rate_pct,profit_factor,expectancy_pct,total_return_pct,max_drawdown_pct,sharpe,error
bo_001_donchian20_breakout,breakout_volatility,1899,28.01,0.3609,-0.2266,-71.1,-71.61,-21.116,
bo_002_donchian10_breakout,breakout_volatility,2569,28.22,0.3711,-0.2145,-80.16,-80.18,-23.69,
bo_003_donchian55_breakout,breakout_volatility,1047,29.42,0.4006,-0.22,-48.86,-49.08,-14.928,
bo_004_keltner_breakout,breakout_volatility,1472,19.09,0.332,-0.2127,-60.19,-60.52,-20.173,
bo_005_atr_range_breakout,breakout_volatility,1466,29.6,0.4096,-0.2116,-59.91,-60.02,-17.134,
bo_006_bb_squeeze_breakout,breakout_volatility,1745,26.99,0.3672,-0.225,-67.86,-68.37,-20.416,
bo_007_donchian20_volume_confirm,breakout_volatility,1459,27.42,0.3699,-0.2338,-62.28,-63.05,-18.569,
bo_008_keltner_wide_breakout,breakout_volatility,920,20.87,0.3432,-0.2203,-44.55,-45.1,-15.74,
bo_009_donchian_adx_confirm,breakout_volatility,1355,27.08,0.3614,-0.2326,-59.43,-59.69,-17.902,
bo_010_double_breakout_confluence,breakout_volatility,1275,28.08,0.3657,-0.2309,-57.02,-57.43,-17.356,
bo_011_wide_range_breakout,breakout_volatility,1617,28.76,0.3919,-0.2191,-64.4,-64.74,-18.654,
bo_012_keltner_donchian_tight_confluence,breakout_volatility,1838,27.26,0.3723,-0.2191,-69.09,-69.59,-20.296,
cp_001_bullish_engulfing,candlestick_pattern,27,29.63,0.5391,-0.1327,-1.25,-1.3,-1.887,
cp_002_hammer,candlestick_pattern,2407,29.91,0.3773,-0.2065,-77.16,-77.38,-22.403,
cp_003_bullish_engulfing_rsi,candlestick_pattern,5,60.0,4.2447,0.4185,0.32,-0.2,0.869,
cp_004_inside_bar_breakout,candlestick_pattern,1853,29.2,0.3752,-0.2062,-67.87,-68.16,-19.451,
cp_005_pin_bar_trend_filter,candlestick_pattern,7265,10.92,0.2135,-0.2045,-98.8,-98.8,-57.928,
cp_006_three_bar_higher_lows,candlestick_pattern,3541,30.13,0.385,-0.212,-89.05,-89.1,-26.583,
cp_007_engulfing_volume,candlestick_pattern,5,20.0,0.0598,-0.1929,-0.29,-0.33,-1.899,
cp_008_doji_reversal,candlestick_pattern,687,40.76,0.4,-0.212,-34.89,-34.92,-11.939,
cp_009_gap_up_continuation,candlestick_pattern,127,33.86,0.5189,-0.1416,-5.88,-6.29,-4.431,
cp_010_engulfing_adx_filter,candlestick_pattern,13,23.08,0.1373,-0.2375,-0.87,-0.88,-2.703,
cp_011_hammer_volume_confirm,candlestick_pattern,1012,29.74,0.3305,-0.2257,-48.3,-48.44,-16.361,
cp_012_three_bar_higher_lows_rsi,candlestick_pattern,2783,32.45,0.3605,-0.2117,-82.38,-82.42,-26.178,
cp_013_inside_bar_breakout_volume,candlestick_pattern,697,27.12,0.3279,-0.2468,-38.34,-38.87,-13.496,
mr_001_bb_rsi_classic,mean_reversion,833,40.34,0.3936,-0.2084,-40.21,-40.27,-13.16,
mr_002_bb_wide_rsi_deep,mean_reversion,294,41.16,0.3957,-0.2481,-18.53,-18.62,-8.115,
mr_003_vwap_reversion,mean_reversion,1438,40.06,0.3381,-0.2039,-58.3,-58.36,-18.486,
mr_004_zscore_reversion_20,mean_reversion,2121,33.29,0.2557,-0.2,-72.01,-72.04,-24.818,
mr_005_percent_b_reversion,mean_reversion,2457,31.38,0.2473,-0.1976,-76.85,-76.88,-27.218,
mr_006_bb_rsi_adx_filter,mean_reversion,161,45.34,0.5267,-0.1096,-6.53,-6.63,-4.819,
mr_007_double_bb_tight,mean_reversion,897,39.13,0.3663,-0.2153,-43.23,-43.28,-13.971,
mr_008_vwap_zscore_combo,mean_reversion,3024,28.27,0.2076,-0.1994,-83.66,-83.67,-32.647,
mr_009_rsi_extreme_fast,mean_reversion,1054,33.3,0.3025,-0.2146,-48.5,-48.54,-17.043,
mr_010_bb_volume_climax,mean_reversion,1550,36.32,0.3025,-0.1973,-60.23,-60.28,-19.987,
mr_011_percent_b_rsi_combo,mean_reversion,1540,36.23,0.336,-0.1988,-60.19,-60.26,-19.027,
mr_012_vwap_bb_confluence,mean_reversion,2114,33.49,0.2572,-0.201,-72.0,-72.04,-24.712,
mr_013_zscore_short_window,mean_reversion,2932,28.55,0.2273,-0.1965,-82.44,-82.46,-31.751,
mr_014_bb_stoch_reversion,mean_reversion,2170,28.66,0.2148,-0.201,-72.94,-72.96,-27.836,
mo_001_rsi_cross_50,momentum_oscillator,3855,19.27,0.3124,-0.2071,-90.63,-90.64,-35.309,
mo_002_stoch_cross_20,momentum_oscillator,3295,27.53,0.2179,-0.2014,-86.29,-86.32,-34.527,
mo_003_stoch_kd_cross,momentum_oscillator,3508,30.3,0.2408,-0.2016,-87.96,-87.98,-33.991,
mo_004_roc_positive_cross,momentum_oscillator,7258,11.39,0.1997,-0.2037,-98.78,-98.78,-60.099,
mo_005_williams_r_reversal,momentum_oscillator,3295,27.53,0.2179,-0.2014,-86.29,-86.32,-34.527,
mo_006_cci_zero_cross,momentum_oscillator,3956,19.29,0.3244,-0.2012,-90.78,-90.79,-35.018,
mo_007_cci_extreme_reversal,momentum_oscillator,2596,30.16,0.2468,-0.2087,-79.88,-79.9,-29.045,
mo_008_rsi_stoch_combo,momentum_oscillator,4496,19.77,0.3231,-0.2097,-93.83,-93.83,-37.454,
mo_009_roc_rsi_combo,momentum_oscillator,6984,11.71,0.2045,-0.2043,-98.57,-98.57,-58.121,
mo_010_williams_cci_combo,momentum_oscillator,2739,29.24,0.2321,-0.2017,-80.86,-80.89,-30.472,
mo_011_stoch_slow_21,momentum_oscillator,2598,32.72,0.2738,-0.2039,-79.4,-79.42,-27.578,
mo_012_rsi_fast_7_cross,momentum_oscillator,5184,17.28,0.3011,-0.2047,-95.75,-95.76,-41.721,
mo_013_triple_momentum_confluence,momentum_oscillator,3935,20.53,0.3349,-0.2084,-91.18,-91.18,-34.105,
mi_001_ema_rsi_volume,multi_indicator_confluence,918,31.26,0.4156,-0.2009,-42.48,-42.77,-13.236,
mi_002_ema_rsi_adx,multi_indicator_confluence,869,29.11,0.3836,-0.2112,-41.8,-41.95,-13.415,
mi_003_macd_rsi_volume,multi_indicator_confluence,957,27.06,0.4016,-0.2138,-45.17,-45.66,-14.27,
mi_004_bb_rsi_volume_mr,multi_indicator_confluence,730,39.86,0.3751,-0.2211,-37.46,-37.52,-12.66,
mi_005_triple_ma_rsi,multi_indicator_confluence,3967,11.17,0.2282,-0.2025,-90.93,-90.93,-41.586,
mi_006_donchian_adx_volume,multi_indicator_confluence,1080,26.85,0.3715,-0.2396,-52.01,-52.65,-15.916,
mi_007_stoch_macd_confirm,multi_indicator_confluence,16764,8.71,0.0674,-0.2012,-100.0,-100.0,-123.181,
mi_008_vwap_rsi_adx,multi_indicator_confluence,5133,13.64,0.244,-0.2059,-95.67,-95.68,-44.896,
mi_009_cci_ema_volume,multi_indicator_confluence,382,29.58,0.2435,-0.1977,-20.35,-20.38,-12.005,
mi_010_bb_stoch_adx_mr,multi_indicator_confluence,1041,26.22,0.1672,-0.1952,-45.92,-45.96,-22.494,
mi_011_keltner_rsi_volume,multi_indicator_confluence,1193,20.03,0.3451,-0.2144,-52.78,-53.27,-17.77,
mi_012_five_factor_confluence,multi_indicator_confluence,415,31.81,0.4111,-0.2107,-22.75,-22.91,-9.132,
